track,candidate_id,pr_number,html_url,title,merged_month,change_type,primary_scope,project_scopes,architecture_shape,architectures,performance_benchmark,reproduction_confidence
performance_oversample,vllm-performance-topup-01,33489,https://github.com/vllm-project/vllm/pull/33489,Change defaults for vllm bench startup,2026-02,performance,benchmarks,benchmarks,support_only,support_only,run_without_result,medium
performance_oversample,vllm-performance-topup-02,33855,https://github.com/vllm-project/vllm/pull/33855,"[Perf] Simplify DeepseekV32 tokenizer, ensure fast detokenization used",2026-02,performance,production_code,production_code;tests,multi_component,input_processing_multimodal;sampling,not_run,high
performance_oversample,vllm-performance-topup-03,34273,https://github.com/vllm-project/vllm/pull/34273,[Misc] Bump `fastsafetensors` version for latest fixes,2026-02,performance,build,build,support_only,support_only,not_run,medium
performance_oversample,vllm-performance-topup-04,37198,https://github.com/vllm-project/vllm/pull/37198,[compile] Enable mega aot artifact for torch 2.12+.,2026-03,performance,production_code,production_code,single_component,compilation,run_with_result,medium
performance_oversample,vllm-performance-topup-05,37351,https://github.com/vllm-project/vllm/pull/37351,[Performance] Add --enable-ep-weight-filter CLI option,2026-03,performance,production_code,production_code,multi_component,serving_api;distributed_execution;moe;model_loading_layers,not_run,medium
performance_oversample,vllm-performance-topup-06,38112,https://github.com/vllm-project/vllm/pull/38112,[CPU] Added faster exp routine for lower precision data types.,2026-04,performance,production_code,production_code,multi_component,attention;kernels_operators,run_with_result,medium
performance_oversample,vllm-performance-topup-07,32553,https://github.com/vllm-project/vllm/pull/32553,[P/D] Prefill compute optimizations with bi-directional KV cache transfers between P and D nodes,2026-04,performance,production_code,production_code;tests;benchmarks;documentation_examples,single_component,kv_cache_data_movement,run_with_result,high
performance_oversample,vllm-performance-topup-08,36517,https://github.com/vllm-project/vllm/pull/36517,Add VLLM_USE_SPINLOOP_EXT to use more efficient busy polling,2026-05,performance,production_code,production_code;build,multi_component,distributed_execution;kernels_operators,not_run,medium
performance_oversample,vllm-performance-topup-09,43270,https://github.com/vllm-project/vllm/pull/43270,[Misc][NUMA] Auto-bind to PCT priority cores on DGX B300 + widen EngineCore across shard NUMA nodes,2026-05,performance,production_code,production_code;tests,multi_component,engine;worker_model_runner,run_with_result,medium
performance_oversample,vllm-performance-topup-10,44481,https://github.com/vllm-project/vllm/pull/44481,[XPU][CI] Refine docker image build and pull/create lock mechanism in Intel GPU CI,2026-06,performance,build,ci;build,support_only,support_only,run_with_result,medium
performance_oversample,vllm-performance-topup-11,45988,https://github.com/vllm-project/vllm/pull/45988,[Perf] Remove unused loggers in `reasoning/`,2026-06,performance,production_code,production_code,single_component,other,not_run,high
performance_oversample,vllm-performance-topup-12,44639,https://github.com/vllm-project/vllm/pull/44639,[CPU][Perf]Added tanh AOR for faster gelu activations.,2026-07,performance,production_code,production_code;tests;build,multi_component,kernels_operators;model_loading_layers;device_platform,run_with_result,high
performance_oversample,vllm-performance-topup-13,47317,https://github.com/vllm-project/vllm/pull/47317,[KV Connector][Mooncake] Apply SWA lookup mask before hashing/key build,2026-07,performance,production_code,production_code;tests,single_component,kv_cache_data_movement,run_with_result,medium
performance_oversample,vllm-performance-topup-14,49607,https://github.com/vllm-project/vllm/pull/49607,[Perf] Hash videos by source bytes,2026-07,performance,production_code,production_code;tests,single_component,input_processing_multimodal,run_with_result,high
performance_oversample,vllm-performance-topup-15,49341,https://github.com/vllm-project/vllm/pull/49341,[Rust Frontend] Send multimodal tensors in auxiliary frames,2026-07,performance,production_code,production_code;tests,single_component,input_processing_multimodal,run_with_result,medium
