archetype,n,median_churn,median_files,median_human_reviews,denominator,share,examples
bugfix / production_code / multi_component / backend_specific,449,32.0,2.0,3.0,5649,0.07948309435298283,#31914 fix memory for online fp8 quantization with streaming weight load; #32161 [CPU] Split attention dispatch by head_dim alignment; #32224 fix cutlass_3x_gemm_fp8_blockwise on sm103a
bugfix / production_code / multi_component / backend_agnostic,397,44.0,2.0,3.0,5649,0.07027792529651265,#29387 [BugFix] Avoid prefix cache hit in the same schedule step for mamba layers; #29816 [Bugfix][Model] Support LoRA on Qwen3 Output Embedding; #30515 [UX][Startup] Account for CUDA graphs during memory profiling
feature / production_code / multi_component / backend_specific,288,256.5,5.0,5.5,5649,0.050982474774296335,#29008 [ROCm][Quantization] GPT_OSS in amd-quark format model loading and emulations ; #29941 [offloader] v2: Hide weight onloading latency via prefetching; #30286 [LoRA] Support Quantized Adapters
performance / production_code / multi_component / backend_specific,261,147.0,3.0,4.0,5649,0.046202867764206054,#23465 [Attention][FA3] Update FA3 to include new swizzle optimization; #30329 [Feature][CPU Backend]: Optimize ARM vectorization backend; #30647 [Perf] Eliminate padding and slicing op for GPT-OSS with Flashinfer MXFP4 MXFP8 MoE
test / tests / support_only / backend_specific,254,13.5,1.0,2.0,5649,0.044963710391219686,#33345 Feat/add nemotron nano v3 tests; #33555 [CI][Bugfix] Fix flaky `tests/v1/kv_connector/unit/test_multi_connector.py::test_multi_example_connector_consistency`; #33566 [CI] Add DeepSeek V3.2 nightly eval
feature / production_code / multi_component / backend_agnostic,253,258.0,6.0,6.0,5649,0.04478668790936449,#20859 [Feature] limit thinking tokens (hard limit); #29184 [Core] NGram GPU Implementation compatible with Async Scheduler; #29828 [Model] Add transcription support for Qwen3-Omni
bugfix / production_code / single:serving_api / backend_agnostic,205,75.0,2.0,2.0,5649,0.0362896087803151,#32114 [Bugfix] Fix Harmony preamble visibility in Responses API; #33218 [Bugfix] GLM-4 tool parser: incremental string streaming; #33513 [Frontend] Fix reasoning_tokens for text-based parsers in Responses API
ci / ci / support_only / backend_specific,160,12.0,1.0,2.0,5649,0.0283235970968313,#32745 [Hardware][AMD][CI] Refactor AMD tests to properly use BuildKite parallelism; #33057 Bump actions/checkout from 6.0.1 to 7.0.0; #33365 move spec decode slow test to test_areas.yaml
test / tests / support_only / backend_agnostic,143,13.0,1.0,2.0,5649,0.02531421490529297,"#27599 [CI/Build] Add common tool call parser test suite; #29130 [Test] Fix @create_new_process_for_each_test(""fork"") in interactive shell pipeline; #33530 [Nightly CI] Remove CT Model"
documentation / documentation_examples / support_only / backend_agnostic,130,6.5,1.0,2.0,5649,0.02301292264117543,#30677 [Docs] Update design/multiprocessing.md; #30947 [docs] Add lightweight AI assisted contribution policy; #31113 Fix document of torchrun_example.py
bugfix / production_code / single:input_processing_multimodal / backend_agnostic,127,29.0,2.0,2.0,5649,0.022481855195609843,#33500 [Critical] Revert #33110; #33634 [Bugfix] Fix mm budget setting for Qwen Omni models; #33635 [Bugfix] Interleaved thinking keeps compatibility with reasoning_content
build / build / support_only / backend_specific,121,7.0,1.0,2.0,5649,0.021419720304478668,#32032 [CI/Build] add directions for CPU image upload to Docker Hub; #33079 [CPU][ARM] Add ARM BF16 cross-compilation support and improve documen…; #33243 [CPU][IBM Z][Dockerfile] Fix IBM Z builds
bugfix / production_code / single:model_implementation / backend_agnostic,118,15.5,1.0,2.0,5649,0.020888652858913084,#32686 Fix accessing hidden_act from model config; #33039 [Model] Use mm_position to compute mrope positions for GLM-4.xV; #33521 Fix mistral sliding window parsing
bugfix / production_code / single:kv_cache_data_movement / backend_agnostic,102,68.0,2.0,3.0,5649,0.018056293149229952,#33292 [KV Connector] Add missing method overrides to MultiConnector; #33524 [Fix] prefix cache hit rate == 0 bug with gpt-oss style models; #33698 [Core][BugFix] Fix PP KV cache sharding memory validation
performance / production_code / multi_component / backend_agnostic,96,124.5,3.0,4.0,5649,0.016994158258098777,#30888 [Perf] Move eplb rebalance algo to async thread; #32005   Reduce the kernel overhead when num of active loras is smaller than max loras. Multiple cuda graphs are captured for each num of active-loras.; #32655 Add unpermute-aware fused MoE LoRA path
refactor / production_code / multi_component / backend_agnostic,95,207.0,5.0,3.0,5649,0.016817135776243584,#32621 [LoRA] Update LoRA expand kernel block_n calculation; #32712 [1/N] Initial Implementation of Parser for ResponsesAPI; #33542 [Chore] Remove redundant input parsing methods
bugfix / production_code / single:attention / backend_specific,82,17.5,1.0,3.0,5649,0.01451584351212604,#33192 [Bugfix] Disable TRTLLM attention when KV transfer is enabled; #33501 Fix DeepSeek RoPE initialization error; #33511 fix(ROCm): Make flash_attn import optional in MLA attention
refactor / production_code / multi_component / cross_backend,70,475.0,16.5,5.0,5649,0.012391573729863693,#32344 [MoE Refactor] Introduce MoERunner abstraction and move execution logic from FusedMoE to DefaultMoERunner; #32564 [MoE Refactor] Create MK for TRTLLM Kernels; #33375 [Moe Refactor] Make Inplace Flag for FusedMoEModularKernel part of the constructor
feature / production_code / single:serving_api / backend_agnostic,68,207.0,4.0,4.0,5649,0.012037528766153301,#29947 [Frontend] OpenAI Responses API supports Tool/Function calling with streaming; #32609 [Frontend] Add sampling parameters to Responses API; #32967 [Frontend] Use init_app_state and FrontendArgs in run_batch
bugfix / production_code / multi_component / cross_backend,65,72.0,4.0,2.0,5649,0.011506461320587715,#30681 [Hardware] Replace `torch.cuda.empty_cache` with `torch.accelerator.empty_cache`; #31127 [Frontend][last/5] Make pooling entrypoints request schema consensus. ; #33308 [rocm][ray] Fix: Unify Ray device visibility handling across CUDA and ROCm
refactor / production_code / multi_component / backend_specific,65,246.0,7.0,3.0,5649,0.011506461320587715,#28631 [Frontend][3/n] Improve pooling entrypoints | scoring.; #31509 [1/n] Migrate permute_cols to libtorch stable ABI; #32929 [FP8]add FP8 WoQ kernel abstraction.
feature / production_code / multi_component / cross_backend,59,773.0,14.0,13.0,5649,0.010444326429456542,#30566 Update to transformers v5; #31162 [Feature] OTEL tracing during loading; #31943 [Feat][RL][1/2] Native Weight Syncing API: NCCL
feature / production_code / single:kv_cache_data_movement / backend_agnostic,56,227.0,5.0,5.0,5649,0.009913258983890954,#33304 [feat] Add per-block extra_keys to KV events; #34328 [KV Connector] Support using FlexKV as KV Cache Offloading option.; #35758 [Core][KVConnector] Support HMA+NixlConnector
bugfix / production_code / single:model_loading_layers / backend_agnostic,54,24.5,1.0,2.0,5649,0.009559214020180564,#33525 Update get_expert_mapping to include self parameter; #33604 Make directory exist ok for ray spinning up multiple replicas on a single instance; #33886 [Bugfix] Fix corner case of sparse embedding
documentation / documentation_examples / support_only / backend_specific,52,12.0,1.0,2.0,5649,0.009205169056470171,"#32767 [Docs] add Dynamo/aibrix integration and kubeai/aks link; #33069 [Doc] Suggest ""--managed-python"" flag when installing python using uv; #33863 [docs] fix unintentional misspellings"
ci / tests / support_only / backend_specific,50,27.5,2.0,2.0,5649,0.008851124092759781,#34274 [CI] Actually run tests/kernels/quantization/test_block_fp8.py in CI; #34839 [ROCm][CI] Cleaning and restructuring amd-ci legacy pipeline; #34923 [ROCm][CI] Added MI325 mirrors
ci / ci / support_only / backend_agnostic,50,8.0,1.0,2.0,5649,0.008851124092759781,#32458 [CI][BugFix] Fix silent failure in shellcheck hook and baseline exist…; #32979 [CI] Add pip caching to cleanup_pr_body workflow; #34271 [Misc] Add pre-commit hook to catch boolean ops in with-statements
performance / production_code / multi_component / cross_backend,46,359.0,7.0,4.0,5649,0.008143034165338998,#32183 [MM Encoder] Add Triton ViT attention backend; #33680 [Perf][Kernel] Add faster topKperRow decode kernel for DeepSeek-V3.2 sparse attention; #34846 [Perf] Improve default triton fused moe configs
bugfix / production_code / single:compilation / backend_agnostic,42,30.5,2.0,2.5,5649,0.007434944237918215,#28044 [cudagraph] fix cudagraph warning in deepseekv32; #33571 [torch.compile] Document the workaround to standalone_compile failing; #33578 [compile] Clean up AOT compile bypass on evaluate_guards.
test / tests / support_only / cross_backend,39,32.0,1.0,2.0,5649,0.006903876792352629,#33948 [Bugfix]: Fix ROCm fusion attn test; use AttentionBackend utils to create kv cache; #34228 Add unit tests for fp8 output fusion of triton_attn; #34567 [CI] Fix ColBERT HF comparison tests on AMD CI + refactor
bugfix / production_code / single:worker_model_runner / backend_agnostic,37,12.0,1.0,2.0,5649,0.006549831828642237,#34440 [BugFix] Fix and optimize max_num_blocks_per_req calculation for MambaSpec; #34866 [BUGFIX] Fix `_dummy_run` missing `prepare_inputs_event` synchronization; #35063 [Model Runner V2] Fix error-handling
bugfix / build / support_only / backend_specific,36,4.5,1.0,2.0,5649,0.006372809346787042,#33984 Bump HF Hub client to get bug fix; #34548 [BugFix] Fix Python 3.13 FlashMLA import error; #35232 [Build] Show error message when using ROCm with LTO and different compilers
refactor / production_code / single:serving_api / backend_agnostic,36,210.0,4.0,3.0,5649,0.006372809346787042,#33281 [2/N] move responses/serving _make_response_output_items logic to parser; #33665 [Refactor] Clean up pooling serial utils; #33904 [Misc] Rename `translations` to `speech_to_text` for OAI serving component
bugfix / production_code / single:kv_cache_data_movement / backend_specific,30,96.0,2.0,4.0,5649,0.0053106744556558685,#34907 [ROCm][P/D][MORI][BugFix] Add transfer_id for moriio_connector so moriio_connector to restore P/D functionality; #35846 [Bugfix][CPUOffloadingManager] Prevent eviction of already-stored blocks in LRU/ARC `prepare_store()`; #36438 [Hardware][NIXL] set default kv buffer type for different platform
refactor / production_code / single:input_processing_multimodal / backend_agnostic,29,299.0,9.0,1.0,5649,0.005133651973800672,#33479 [Refactor] Make Renderer an abstract class; #33687 [Refactor] Clean up input preprocessing; #34035 [Misc] Make `PlaceholderRange.get_num_embeds` a method
bugfix / production_code / single:quantization / backend_specific,28,15.5,1.0,3.0,5649,0.004956629491945477,#32779 Fix infinite recursive search issue in quark.py; #33734 [Rocm][Bugfix] Fix dtype not same for gemm_a4w4 op; #34431 [ROCm][quantization] improve OCP weight quant parser robust
bugfix / production_code / single:moe / backend_specific,28,8.0,1.0,2.0,5649,0.004956629491945477,"#34260 [Model Bash]: Improve FP8 Oracle for Config Specific Kernel Selection; #34636 [ROCm][Bugfix]: Only save unpadded sizes for shared_experts in MoERunner to fix rmsnorm pad fusion; #34673 [Bugfix][MoE Kernel] Fix incorrect routing selection for models without expert groups (e.g., MiniMax-M2.1)"
bugfix / production_code / single:other / backend_agnostic,27,60.0,2.0,2.0,5649,0.004779607010090282,"#34211 [Bugfix] Fix step3p5 reasoning with interleaved thinking; #35537 [Bugfix] Fixes for SLA finder; #37415 [MISC] fix pin_memory=torch.cuda.is_available(), use is_pin_memory_available"
bugfix / production_code / single:speculative_decoding / backend_agnostic,25,12.0,1.0,2.0,5649,0.0044255620463798905,#34065 [Docs] Clean up speculators docs; #34385 [Bugfix] Fix MTP accuracy for GLM-5; #35654 [cohere][fix][spec-decode]: fix crash when allowed_token_ids is set without penalties
bugfix / production_code / single:compilation / backend_specific,25,10.0,1.0,3.0,5649,0.0044255620463798905,#34007 [CI][AMD]Bugfix] Check that model_config is not None in enable_norm_pad_fusion; #34069 [ROCm][Bugfix] fix act_quant_fusion module import error; #34523 [Misc] vLLM's --enforce-eager should turn off compile and cudagraphs only
feature / production_code / single:kv_cache_data_movement / backend_specific,24,255.5,6.0,4.0,5649,0.004248539564524694,#33339 Enable Cross layers KV cache layout at NIXL Connector V2; #34175 [LMCache] Token Base IPC API; #35342 feat(kv-offload): Strategy A — StoreReusedOffloadingManager gates CPU stores on reuse frequency
bugfix / production_code / single:kernels_operators / backend_specific,24,22.0,1.0,2.0,5649,0.004248539564524694,#34410 small adjustment to wvSplitKrc; #34791 [Bugfix] Gate 256-bit instructions to CUDA 12.9+; #35250 [Bugfix][Hardware][AMD] Gate FP4 ops on gfx950 to prevent MI300X crash
bugfix / production_code / single:device_platform / backend_specific,24,13.0,1.0,2.0,5649,0.004248539564524694,#33769 [XPU] remove common path warning log; #33992 [Bugfix] Fix CUDA compatibility path setting for both datacenter and consumer NVIDIA GPUs; #34108 [ROCm][Bugfix] Resolve Dynamo tracing crash from amdsmi calls in on_gfx* arch detection
bugfix / benchmarks / support_only / backend_agnostic,23,14.0,1.0,2.0,5649,0.004071517082669499,#32300 [ASR] Fix audio benchmark and add RTFx metric; #33488 fix: only include Authorization header when OPENAI_API_KEY is set; #33629 Save startup benchmark results as a list of values
bugfix / production_code / single:distributed_execution / backend_specific,22,21.5,1.0,2.0,5649,0.0038944946008143033,#32022 [Bugfix] Fix memory inconsistency in cross-process shared memory; #33713 [Bugfix][ROCm] Include float8_e4m3fnuz in NCCL Dtype Dispatching; #34169 [CPU][Distributed] Fix Enable _CPUSHMDistributed only when TP/PP ranks share the same SHM group name
ci / ci / support_only / cross_backend,22,50.0,2.0,2.0,5649,0.0038944946008143033,#34233 Bump `mamba-ssm` version in CI for Transformers v5 compatibility; #34629 Targeting the MI355 agent pool with all existing tests; #34820 [CI][Bugfix] Fix multinode test script
build / build / support_only / backend_agnostic,22,4.0,1.0,2.0,5649,0.0038944946008143033,#33619 Patch Protobuf for CVE 2026-0994; #34253 Patch protobuf for CVE-2026-0994; #34466 [CI/Build] Add opentelemetry libs in default vllm build (requirements/common.txt)
bugfix / production_code / single:reliability_observability / backend_agnostic,21,9.0,1.0,2.0,5649,0.0037174721189591076,#29714 [Bugfix] Suppress non-TTY color output on the process name part of the log; #35434 [BugFix] Repo utils debug print patch; #37157 [openapi] remove redundant exception stack trace[4/N]
bugfix / production_code / single:model_implementation / backend_specific,21,11.0,1.0,2.0,5649,0.0037174721189591076,#32710 [ROCm][Bugfix][CI] Fix hybrid models and their tests (Mamba/Jamba/Bamba); #33077 [BUGFIX] Fix hipErrorIllegalState in Qwen3-Omni during startup profiling allow inference Omni on ROCM; #34219 [Bugfix] Fix FI kernel`chunk_gated_delta_rule` output shape for Qwen3.5
maintenance / developer_tooling / support_only / backend_agnostic,21,7.0,1.0,2.0,5649,0.0037174721189591076,#34309 Add new sections to CODEOWNERS; #35113 [Misc] Monitor interface changes; #35207 Add @MatthewBonanni to CODEOWNERS
bugfix / production_code / single:sampling / backend_agnostic,21,52.0,2.0,2.0,5649,0.0037174721189591076,"#33233 [structured output] validate unsupported json features first; #33509 [FIX] guidance: use max(vocab_size, len(tokenizer)) for n_vocab; #35030 Fix apply_top_k_top_p_triton called by non-cuda logits Tensor"
feature / production_code / single:model_implementation / backend_agnostic,19,91.0,4.0,2.0,5649,0.0033634271552487167,#30966 Migrate GPTBigCode and Starcoder2 to the Transformers modeling backend; #33370 [Models]: lfm2_siglip2 return intermediate encoder layers; #33660 [PluggableLayer][3/N] Apply PluggableLayer to mamba layers.
bugfix / production_code / single:distributed_execution / backend_agnostic,19,29.0,1.0,2.0,5649,0.0033634271552487167,#32739 [BugFix] DPMetadata raises assert error for dense model; #35429 [Bugfix] Fix MessageQueue connect_ip for cross-node data parallelism; #35736 [Bugfix] Fix Ray compiled-DAG SHM channel stalls by detaching zero-copy `np.ndarray` logprobs buffers
bugfix / production_code / single:worker_model_runner / backend_specific,19,8.0,1.0,2.0,5649,0.0033634271552487167,#35338 [Bugfix] Fix AttributeError in SMControlContextManager; #35815 [Bugfix] Fix CPU OMP autobind assertion to use local_world_size; #36430 [Bugfix] Avoid to replace non-tensor members in cpu model runner
ci / build / support_only / backend_specific,17,67.0,3.0,2.0,5649,0.0030093821915383252,#33492 [ROCm][CI] Update huggingface-hub pin; #34606 [CI] Disable precompiled wheel path in CI image builds; #35008 [CI] Stabilizing ROCm amd-ci signal and minor name fix in upstream
feature / production_code / single:input_processing_multimodal / backend_agnostic,17,197.0,3.0,6.0,5649,0.0030093821915383252,#31366 feat(frontend): early-fail tokenization guard for user requests; #33486 [cohere] [misc] support arbitrary MM datasets in spec dec bench; #34134 openpangu-vl support video input
bugfix / production_code / single:engine / backend_agnostic,17,58.0,2.0,2.0,5649,0.0030093821915383252,"#34382 [BUG] Reset running requests when clearing cache for pause/resume; #34415 [KV Connector] Add temporary, off-by-default `VLLM_DISABLE_REQUEST_ID_RANDOMIZATION` workaround; #34875 [Bugfix] Fix V1 logprobs empty strings for multi-byte UTF-8 tokens when logprobs > 0"
performance / production_code / single:kv_cache_data_movement / backend_agnostic,17,88.0,3.0,4.0,5649,0.0030093821915383252,#32553 [P/D] Prefill compute optimizations with bi-directional KV cache transfers between P and D nodes; #36164 perf: add __slots__ to KVCacheBlock ; #37165 [perf][connector] optimize build_connector_meta when host buffer transfer is not used
performance / production_code / single:kernels_operators / backend_specific,17,74.0,1.0,2.0,5649,0.0030093821915383252,#33022 [Kernel] Apply 256bit LDG/STG To Activation Kernels; #34185 [Kernel] [Helion] [6/N] Add num_tokens dimension to silu_mul autotuning and dispatching; #35890 [Perf] Use dummy M for weight prepacking on x86
performance / production_code / single:compilation / backend_agnostic,16,27.5,2.0,3.0,5649,0.0028323597096831295,#33641 [torch.compile] Significantly speed up cold start times; #34003 [torch.compile] Stop compiling identical artifacts; #34092 [torch.compile] Disable recursive pre_grad_passes
build / build / support_only / cross_backend,16,31.0,4.5,3.0,5649,0.0028323597096831295,#33849 [release] Minor fixes to release annotation; #34770 [Build] Add Python 3.14 to supported version list.; #36170 [Dependency] Remove default ray dependency
bugfix / production_code / single:lora / backend_agnostic,15,17.0,2.0,2.0,5649,0.0026553372278279343,#34773 [Misc][LoRA] Increase max vocab size limit to 258048 in logits processor; #34834 [Bugfix] Fix lora tests; #35354 [Bugfix] Remove erroneous lower bound on LoRA vocab size constraint
performance / production_code / single:attention / backend_specific,15,27.0,1.0,2.0,5649,0.0026553372278279343,#33771 [Revert] Fix performance regression for GLM-4.7-GPTQ decode and MTP acceptance rate; #34732 [Attention] Use FA4 for MLA prefill; #37539 [Performance] Remove unnecessary zero-fill of MLA decode output tensor in Aiter backend
performance / production_code / single:input_processing_multimodal / backend_agnostic,15,115.0,2.0,3.0,5649,0.0026553372278279343,"#35657 [Model] Nano Nemotron VL - fast media preprocessing; #39986 [Multimodal] Add PyAV video backend for concurrent video decoding; #40143 [Core] Reduce mm scheduler, get_num_embed overhead"
bugfix / production_code / single:scheduler / backend_agnostic,14,49.0,2.0,3.0,5649,0.0024783147459727386,#31058 [Scheduler][ASR] Fix CrossAttn blocks per-request for Variable length encoder inputs; #33377 [Bugfix][Async][Connector] avoid vllm-side double free during async scheduling + request abort + async KV cache transfer; #33706  [Hybrid] Fix and optimize block-aligned splitting in mamba cache align mode
refactor / production_code / single:kv_cache_data_movement / backend_agnostic,14,96.0,4.5,2.5,5649,0.0024783147459727386,#34147 [KVConnector] Clean up redundant code in KV connectors; #36862 [Misc] Set default `kv_buffer_device` in a better way; #37405 [kv_offload+HMA][6/N]: Split offloading_connector.py
documentation / documentation_examples / support_only / cross_backend,14,42.5,2.0,1.5,5649,0.0024783147459727386,#33936 [Doc] Add DCP support to attention backend doc; #33971 [DOC] [ROCm] Update docker deployment doc; #38628 [Docs] PD with Nixl compat matrix
bugfix / production_code / single:attention / backend_agnostic,14,9.0,1.0,2.0,5649,0.0024783147459727386,#34874 [Bugfix] Fix prefix caching for Mamba 'all' mode (Nemotron models); #35886 [Bugfix][Minor] Fix potential NameError in mamba backend selector and misc typos; #36243 [Bugfix] Skip out-of-stage layers in get_layers_from_vllm_config for pipeline parallel
bugfix / production_code / single:model_loading_layers / backend_specific,14,24.5,2.0,2.0,5649,0.0024783147459727386,#33491 [Minor] Sort safetensors files to ensure deterministic loading order; #34070 [BugFix] Fix `fastsafetensors` TP all procs using all GPUs; #37178 Bugfix for offloading+prefetch for GLM-4.7-FP8
performance / production_code / single:worker_model_runner / backend_agnostic,13,28.0,1.0,1.0,5649,0.002301292264117543,#34667 [Model Runner V2] Fix unintended CPU-GPU sync in make_dummy; #34733 fix(worker): optimize swap_states to copy only active token prefixes; #34780 [Model Runner V2] Avoid prepare prefill kernel launch overhead
feature / production_code / single:attention / backend_specific,13,113.0,3.0,3.0,5649,0.002301292264117543,#31195 [SM100] Resubmit FMHA FP8 prefill for MLA; #35334 [ROCm] Enabling encoder and encoder-decoder on ROCm and AITER unified backends; #35850 [ROCm] Support MLA with nhead<16 and FP8 KV cache for TP=8 (Kimi K2.5/Linear)
bugfix / production_code / single:moe / backend_agnostic,12,7.0,1.0,2.5,5649,0.002124269782262347,#34379 [BugFix] Fix DP chunking ; #34436 Fix MoE for the Transformers modelling backend; #34443 [Bugfix] Remove assert that's no longer valid
feature / benchmarks / support_only / backend_agnostic,12,141.5,1.5,3.0,5649,0.002124269782262347,#33922 Support benchmarking of Geospatial models ; #35220 [Benchmarks] Plot benchmark timeline and requests statistics; #35280 custom dataset img support base64
feature / production_code / single:quantization / backend_specific,12,111.5,2.0,3.0,5649,0.002124269782262347,#33786 Add support for ModelOpt MXFP8 dense models; #34157 [ROCm] Add dynamic mxfp4 quantization for DeepSeek V2 projection layers; #38192 [Quantization][Autoround][CPU] Add W4A16 Support
build / production_code / multi_component / backend_specific,12,127.5,6.0,3.0,5649,0.002124269782262347,#36529 [Compile] Fix compile warning in `moe_permute`; #37980 [UX] Integrate DeepGEMM into vLLM wheel via CMake; #38573 [Compile] Fix nvfp4 compile warning
feature / production_code / single:reliability_observability / backend_agnostic,11,110.0,2.0,4.0,5649,0.0019472473004071517,#30950 [Metrics] Add Prometheus counters for Model FLOPs Utilization (MFU); #33290 [Metrics] Add labeled prompt token metrics for P/D disaggregation; #35240 Add PyTorch profiler schedule support with warmup/active iterations
performance / production_code / single:model_implementation / backend_agnostic,11,40.0,1.0,3.0,5649,0.0019472473004071517,#34337 [GPT-OSS] Remove unnecessary contiguous; #35099 gpu_model_runner: Cache is_encoder_decoder from model config; #37139 [Models][Qwen3 ViT] Keep `max_seqlen` on CPU to prevent D2H sync
