candidate_id,pr_number,html_url,title,merged_month,change_type,primary_scope,project_scopes,architecture_shape,architectures,cross_component,cross_scope,affected_hardware_scope,affected_platforms,changed_files,churn,verification_test_assets,verification_methods,reproduction_confidence,reproduction_commands,workload_bucket,final_100_bucket_quota,candidate_300_bucket_quota
vllm-cpu-300-001,33243,https://github.com/vllm-project/vllm/pull/33243,[CPU][IBM Z][Dockerfile] Fix IBM Z builds,2026-02,build,build,build,support_only,support_only,False,False,backend_specific,cpu,1,43,none,build_install;end_to_end_test;manual,high,bash .buildkite/scripts/hardware_ci/run-cpu-test-s390x.sh,build | build | support_only,5,15
vllm-cpu-300-002,32686,https://github.com/vllm-project/vllm/pull/32686,Fix accessing hidden_act from model config,2026-02,bugfix,production_code,production_code,single_component,model_implementation,False,False,backend_agnostic,backend_agnostic,1,7,none,integration_test,medium,tests/models/test_initialization.py::test_can_initialize_large_subset,bugfix | production_code | single_component,36,108
vllm-cpu-300-003,33551,https://github.com/vllm-project/vllm/pull/33551,[Model] Use explicit types in `get_generation_prompt`,2026-02,refactor,production_code,production_code,multi_component,model_implementation;input_processing_multimodal;serving_api,True,False,backend_agnostic,backend_agnostic,8,148,none,end_to_end_test;model_correctness,medium,pytest -x -v -s tests/models/multimodal/generation/test_whisper.py -m cpu_model,refactor | production_code | multi_component,3,9
vllm-cpu-300-004,32609,https://github.com/vllm-project/vllm/pull/32609,[Frontend] Add sampling parameters to Responses API,2026-02,feature,production_code,production_code;tests,single_component,serving_api,False,True,backend_agnostic,backend_agnostic,3,167,mixed,unit_test;end_to_end_test,medium,pytest tests/entrypoints/openai/responses/test_sampling_params.py -v,feature | production_code | single_component,9,27
vllm-cpu-300-005,33621,https://github.com/vllm-project/vllm/pull/33621,Patch aiohttp for CVE-2025-69223,2026-02,build,build,build,support_only,support_only,False,False,backend_specific,amd_rocm,3,6,none,build_install,high,.buildkite/image_build/image_build_cpu.sh $REGISTRY $REPO $BUILDKITE_COMMIT,build | build | support_only,5,15
vllm-cpu-300-006,33758,https://github.com/vllm-project/vllm/pull/33758,Apply #33621 to main,2026-02,build,build,build,support_only,support_only,False,False,backend_specific,amd_rocm,3,6,none,build_install,medium,uv pip install --system -r requirements/common.txt || uv pip install --system -r requirements/dev.txt || uv pip install --system -r requirements/rocm-test.txt,build | build | support_only,5,15
vllm-cpu-300-007,33794,https://github.com/vllm-project/vllm/pull/33794,[Bugfix] Fix `normalize` still being passed to `PoolerConfig`,2026-02,test,tests,tests;documentation_examples,support_only,support_only,False,True,backend_agnostic,backend_agnostic,2,6,modified,model_correctness,medium,pytest -x -v -s tests/models/language/pooling -m cpu_model,test | tests | support_only,4,12
vllm-cpu-300-008,33557,https://github.com/vllm-project/vllm/pull/33557,[Perf] Optimize the performance of structured output + reasoning,2026-02,performance,production_code,production_code,multi_component,serving_api;engine;configuration_shared_infrastructure,True,False,backend_agnostic,backend_agnostic,4,112,none,end_to_end_test,medium,bash .buildkite/scripts/hardware_ci/run-cpu-test-arm.sh || tests/entrypoints/openai/test_completion_with_function_calling.py::test_function_tool_use,performance | production_code | multi_component,2,6
vllm-cpu-300-009,33491,https://github.com/vllm-project/vllm/pull/33491,[Minor] Sort safetensors files to ensure deterministic loading order,2026-02,bugfix,production_code,production_code,single_component,model_loading_layers,False,False,backend_specific,google_tpu,1,13,none,integration_test,medium,tests/model_executor/model_loader/runai_streamer_loader/test_weight_utils.py::test_runai_model_loader,bugfix | production_code | single_component,36,108
vllm-cpu-300-010,31112,https://github.com/vllm-project/vllm/pull/31112,[XPU]Replace pip in docker.xpu with uv pip,2026-02,performance,build,build,support_only,support_only,False,False,backend_specific,intel_xpu,1,74,none,build_install;end_to_end_test;distributed_test,medium,docker build -t docker_xpu_uv:test -f docker/Dockerfile.xpu .,performance | build | support_only,1,3
vllm-cpu-300-011,33982,https://github.com/vllm-project/vllm/pull/33982,Consolidate and fix forbidden import `pre-commit` checks,2026-02,ci,tests,tests;developer_tooling,support_only,support_only,False,True,backend_agnostic,backend_agnostic,5,445,added,static_check,high,pre-commit run --all-files --hook-stage manual,ci | tests | support_only,1,3
vllm-cpu-300-012,34048,https://github.com/vllm-project/vllm/pull/34048,[CI][Build]  Pin grpcio-tools==1.78.0,2026-02,build,build,build,support_only,support_only,False,False,backend_specific,amd_rocm,5,17,none,build_install;unit_test,medium,pytest -v -s entrypoints/openai/tool_parsers || pytest -v -s entrypoints/ --ignore=entrypoints/llm --ignore=entrypoints/rpc --ignore=entrypoints/sleep --ignore=entrypoints/instrumentator --ignore=entrypoints/openai --ignore=entrypoints/offline_mode --ignore=entrypoints/test_chat_utils.py --ignore=entrypoints/pooling,build | build | support_only,5,15
